2.79998	8
17.6754	12
23.5025	18
13.2737	12
28.0325	10
18.2491	12
32.8801	9
33.1847	14
0.893862	6
39.1049	11
2.56596	8
23.1191	18
33.9878	14
2.5018	8
7.21781	6
28.7945	10
34.1842	13
39.2025	10
12.7476	12
28.9257	9
22.8314	15
22.9607	18
17.3389	9
7.42664	6
1.43238	6
12.9143	12
23.7911	17
22.681	11
39.2025	10
17.6544	12
1.44248	6
34.0136	14
38.8453	12
28.5578	11
12.7661	12
3.2686	8
17.5619	10
38.6743	12
17.8362	12
2.50448	8
39.2025	10
38.7244	12
7.10747	5
29.0652	8
33.7901	15
33.6925	15
28.9617	9
27.7108	6
0.985482	6
18.1079	12
7.68228	6
13.4938	12
0.950275	6
28.7887	10
38.1656	6
0.796783	6
39.2025	10
13.2942	12
12.7351	12
12.893	12
33.7242	15
37.9699	5
39.2025	10
39.2025	10
34.0578	14
18.4632	10
27.8449	8
23.789	17
13.714	10
28.5307	11
34.1557	13
28.6913	11
33.8781	15
22.9722	18
34.2021	12
23.9098	16
7.78761	6
17.3877	9
23.0271	18
18.6235	9
23.1477	18
3.31169	8
18.2545	12
3.3141	8
33.5256	15
23.694	17
23.4689	18
23.8533	16
12.6095	11
12.6583	11
13.4225	12
23.8433	16
23.8162	17
23.59	18
33.0706	12
3.27024	8
18.6105	9
8.139	5
33.5773	15
23.4532	18
